Name,Start year,End year,Tenure,Country
Paul Biya ,1975,2019,44,Cameroon
Teodoro Obiang Nguema,1979,2019,40,Equatorial Guinea
Denis Sassou Nguesso ,1979,1992,13,Republic of Congo
Denis Sassou Nguesso ,1997,2019,22,Republic of Congo
Yoweri Kaguta Museveni,1986,2019,33,Uganda
Idriss Deby,1990,2019,29,Chad
Isaias Afewerki,1993,2019,26,Eritrea
Ismaïl Omar Guelleh,1999,2019,20,Djibouti
Pual Kagame,2000,2019,19,Rwanda
